File,Time,Colonies,Method
IMG_07,120.82,287,m
IMG_09,120.82,287,m
IMG_13,96.16,103,m
IMG_14,1318.88,2500,m
IMG_15,83.13,101,m
IMG_16,1318.88,2500,m
IMG_17,90.60,103,m
IMG_18,1318.88,2500,m
IMG_19,1318.88,2500,m
IMG_20,78.15,108,m
IMG_21,83.10,109,m
IMG_22,3.44,2,m
IMG_23,4.25,3,m
IMG_27,71.14,115,m
IMG_28,96.77,115,m
IMG_29,7.13,6,m
IMG_32,6.19,3,m
IMG_33,4.5,2,m
IMG_34,76.21,116,m
